race,filter
white,1
white,2
white,3
white,4
white,5
white,6
white,7
white,8
white,9
white,10
white,11
white,12
white,13
white,14
white,15
white,16
white,17
white,18
white,19
white,20
white,21
white,22
white,23
white,24
white,25
white,26
white,27
white,28
white,29
white,30
white,31
white,32
white,33
white,34
white,35
white,36
white,37
white,38
white,39
white,40
white,41
white,42
white,43
white,44
white,45
white,46
white,47
white,48
white,49
white,50
black,1
black,2
black,3
black,4
black,5
black,6
black,7
black,8
black,9
black,10
black,11
black,12
black,13
black,14
black,15
black,16
black,17
black,18
black,19
black,20
black,21
black,22
black,23
black,24
black,25
black,26
black,27
black,28
black,29
black,30
black,31
black,32
black,33
black,34
black,35
black,36
black,37
black,38
black,39
black,40
black,41
black,42
black,43
black,44
black,45
black,46
black,47
black,48
black,49
black,50
hispanic,1
hispanic,2
hispanic,3
hispanic,4
hispanic,5
hispanic,6
hispanic,7
hispanic,8
hispanic,9
hispanic,10
hispanic,11
hispanic,12
hispanic,13
hispanic,14
hispanic,15
hispanic,16
hispanic,17
hispanic,18
hispanic,19
hispanic,20
hispanic,21
hispanic,22
hispanic,23
hispanic,24
hispanic,25
hispanic,26
hispanic,27
hispanic,28
hispanic,29
hispanic,30
hispanic,31
hispanic,32
hispanic,33
hispanic,34
hispanic,35
hispanic,36
hispanic,37
hispanic,38
hispanic,39
hispanic,40
hispanic,41
hispanic,42
hispanic,43
hispanic,44
hispanic,45
hispanic,46
hispanic,47
hispanic,48
hispanic,49
hispanic,50
other,1
other,2
other,3
other,4
other,5
other,6
other,7
other,8
other,9
other,10
other,11
other,12
other,13
other,14
other,15
other,16
other,17
other,18
other,19
other,20
other,21
other,22
other,23
other,24
other,25
other,26
other,27
other,28
other,29
other,30
other,31
other,32
other,33
other,34
other,35
other,36
other,37
other,38
other,39
other,40
other,41
other,42
other,43
other,44
other,45
other,46
other,47
other,48
other,49
other,50
